session_id,item,idea_id,idea,condition,originality
0,tire,0,**Mobile Aquarium:** Tire filled with water and decorated with aquatic plants and tiny fish.,idea1,4.2
0,tire,1,**Giant Windsock:** Tire used as a giant windsock to capture wind and create colorful waves.,idea1,4.0
0,tire,2,**Musical Instrument:** Tire repurposed into a drum or percussion instrument.,idea1,3.0
0,tire,3,**Planter:** Tire transformed into a hanging planter for flowers or herbs.,idea1,2.8
0,tire,4,**Interactive Mirror:** Tire used as a canvas for interactive art projected onto its surface.,idea1,4.5
1,tire,0,"**Tire Swing:** A swing made of a repurposed tire suspended from a tree, allowing people to swing back and forth.",idea1,2.0
1,tire,1,"**Mobile Tire Garden:** A tire filled with soil and planted with flowers, acting as a portable garden.",idea1,3.2
1,tire,2,"**Tire Drum:** A hollow tire used as a drum, creating unique rhythmic sounds.",idea1,3.0
1,tire,3,"**Tire Soap Dish:** A tire carved into a soap dish, offering a humorous way to wash your hands.",idea1,3.0
1,tire,4,"**Tire Mirror:** A reflective surface mounted on a tire, used as a portable mirror.",idea1,3.0
2,tire,0,"**Tire Swing:** A tire attached to a rope, suspended between two trees, can be used as a swing.",idea1,1.8
2,tire,1,**Tire Rocket:** A hollow tire filled with explosives can be used as a rocket engine.,idea1,4.8
2,tire,2,**Tire Cactus:** A tire filled with sharp cactus needles can be used as a weapon.,idea1,3.8
2,tire,3,**Tire Bridge:** Two tires stacked on top of each other can be used as a bridge.,idea1,3.0
2,tire,4,**Tire Fountain:** A tire filled with water can be used as a fountain.,idea1,3.4
3,tire,0,"**Tire Swing:** A tire suspended from a tree, serving as a giant swing for children.",idea1,1.8
3,tire,1,"**Mobile Tire Garden:** A tire filled with soil and planted with flowers, acting as a portable garden.",idea1,3.0
3,tire,2,"**Tire Cactus:** A tire carved into a cactus shape, used as a unique planter.",idea1,3.4
3,tire,3,"**Tire Mirror:** A reflective surface attached to a tire, acting as a portable mirror.",idea1,3.0
3,tire,4,"**Tire Bowling Ball:** A hollow tire filled with sand, used as a bowling ball.",idea1,3.0
4,tire,0,"**Tire Swing:** A giant tire swing for parks, where people can hang from the tire and enjoy a thrilling ride.",idea1,1.8
4,tire,1,"**Musical Tire:** A musical instrument made of a hollow tire, with strings attached to the sides to create different sounds.",idea1,3.4
4,tire,2,**Tire Bowling:** A unique bowling game where tires are used as pins and the ball is a giant rubber ball.,idea1,3.8
4,tire,3,**Tire Cactus:** A sculptural creation made of a tire and adorned with cactus plants.,idea1,3.8
4,tire,4,**Tire Fountain:** A fountain made of a tire and water jets that spray water in different directions.,idea1,3.8
5,tire,0,"**Tire Swing:** A giant tire swing made of multiple tires, where people can hang from the handles and swing back and forth.",idea1,2.8
5,tire,1,"**Tire Cactus:** A tire carved into the shape of a cactus and filled with sand, used as a unique planter for small plants.",idea1,4.2
5,tire,2,"**Tire Bridge:** A bridge made of stacked tires, connecting two points and allowing pedestrians to cross over.",idea1,3.0
5,tire,3,"**Tire Fountain:** A fountain made of a tire filled with water, where water sprays out of the tire.",idea1,3.4
5,tire,4,"**Tire Mask:** A mask made of a tire, decorated with feathers, glitter, or other embellishments.",idea1,3.4
6,tire,0,"**Tire Swing:** A tire mounted on a frame, suspended from a tree, can be used as a swing for children.",idea1,1.8
6,tire,1,**Tire Sandbox:** A hollowed-out tire filled with sand can serve as a sandbox for kids.,idea1,3.0
6,tire,2,**Tire Mirror:** A reflective surface on the sidewall of a tire can be used as a mirror.,idea1,3.4
6,tire,3,**Tire Fountain:** A tire filled with water can be used as a fountain.,idea1,3.4
6,tire,4,**Tire Clock:** A tire with markings on its surface can be used as a clock.,idea1,3.4
7,tire,0,"**Tire Swing:** A giant tire swing made of multiple tires, suspended from a tree, where people can swing back and forth.",idea1,2.8
7,tire,1,"**Tire Sandbox:** A sandbox filled with shredded tires, where children can play and dig.",idea1,3.0
7,tire,2,**Tire Flower Pot:** A tire painted with flowers and used as a planter.,idea1,3.2
7,tire,3,"**Tire Bridge:** A bridge made of interconnected tires, crossing a river.",idea1,2.8
7,tire,4,**Tire Bowling Ball:** A tire carved into a bowling ball shape and used as a bowling ball.,idea1,3.8
8,tire,0,"**Tire Swing:** A giant tire swing made of a large tire and a sturdy frame, perfect for kids (and adults!) to enjoy.",idea1,2.8
8,tire,1,"**Tire Mirror:** A reflective tire mounted on a frame, used as a unique and eye-catching mirror.",idea1,3.4
8,tire,2,"**Tire Fountain:** A fountain made of a tire and water jets, creating a watery spectacle.",idea1,3.4
8,tire,3,**Tire Drum:** A drum made by hollowing out a tire and adding percussion instruments for a unique musical experience.,idea1,3.4
8,tire,4,"**Tire Playhouse:** A tire-shaped playhouse for children, built on wheels for portability.",idea1,3.2
9,tire,0,"**Tire Swing:** A tire suspended from a tree, with a rope attached to the valve stem, can serve as a unique swing for children and adults.",idea1,1.8
9,tire,1,"**Tire Fountain:** A tire filled with water can be used as a fountain, spraying water high into the air.",idea1,3.0
9,tire,2,**Tire Mirror:** A mirror mounted on a tire can be used to reflect images onto the road behind the car.,idea1,3.8
9,tire,3,**Tire Clock:** A clock made from a tire and decorated with numbers can be used to display the time.,idea1,3.4
9,tire,4,**Tire Drum:** A drum made from a tire can be used for percussion music.,idea1,3.0
0,pants,0,"Pant-powered parachute:** A rip-off of the parachute, but instead of a giant canopy, the pants are attached to a cord and deployed when the wearer needs to ascend.",idea1,3.4
0,pants,1,"Interactive pants:** Equipped with sensors and LEDs, these pants light up and vibrate based on the wearer's movement, creating a unique dance performance.",idea1,3.6
0,pants,2,"Modular pants:** Separate legs and pockets allow for customization, allowing the wearer to mix and match different styles and functionalities.",idea1,3.8
0,pants,3,"Pants as a musical instrument:** The legs of the pants are hollow and resonate, creating a unique percussive sound when struck.",idea1,3.4
0,pants,4,"Pant-integrated GPS:** Embedded GPS trackers in the pants guide the wearer through unfamiliar territory, leaving the need for separate navigation devices obsolete.",idea1,4.8
1,pants,0,"**Sling shot pants:** Pants attached to a rope, used to sling shot small objects.",idea1,3.0
1,pants,1,**Catapults:** Pants transformed into a makeshift catapult for launching small items.,idea1,4.0
1,pants,2,**Living pants:** Pants used as a shelter or shelter component in extreme weather.,idea1,3.0
1,pants,3,"**Musical pants:** Pants incorporated into a musical instrument, like a drum or a bass.",idea1,3.4
1,pants,4,"**Interactive pants:** Pants with embedded sensors that interact with the wearer's movement, creating a unique dance experience.",idea1,3.8
2,pants,0,"**Portable Hammock:** Turn pants into a lightweight, breathable hammock for relaxing in the park or enjoying a sunset.",idea1,4.2
2,pants,1,**Water Reservoir:** Convert pants into a portable water reservoir for carrying extra fluids on hikes or camping trips.,idea1,4.5
2,pants,2,**Sling Shot:** Design pants with a built-in sling shot mechanism for launching small objects like pebbles or paper balls.,idea1,4.2
2,pants,3,"**Interactive Pants:** Create pants with embedded sensors that interact with the wearer's movement, changing color or texture based on their activity.",idea1,3.8
2,pants,4,"**Multifunctional Pants:** Design pants with detachable pockets and compartments that can be rearranged to accommodate various items, like tools, books, or even small pets.",idea1,3.2
3,pants,0,"Pants as a canvas:** Instead of painting on canvas, use pants as a canvas. Dye them with vibrant colors, patterns, or even portraits. You could even add embellishments like glitter, sequins, or embroidery.",idea1,3.0
3,pants,1,"Pants as a musical instrument:** Turn pants into a musical instrument by attaching strings, bells, or other instruments to them. You could even create a unique percussion instrument by attaching metal rods or plates to the legs of your pants.",idea1,3.4
3,pants,2,Pants as a parachute:** Turn a pair of pants into a makeshift parachute by attaching a cord or rope to the waistband and letting the wind carry you.,idea1,4.8
3,pants,3,Pants as a tent:** Create a cozy tent by folding and layering pants. You could even add a waterproof lining to keep you dry.,idea1,4.5
3,pants,4,Pants as a puppet:** Craft a unique puppet by sculpting the legs and torso of pants into a character. You could even add facial features and accessories to complete the puppet.,idea1,3.4
4,pants,0,"**Airbag Pants:** A pair of pants with integrated airbags that inflate when the wearer encounters turbulence, creating a smooth and comfortable ride on airplanes.",idea1,4.5
4,pants,1,"**Holographic Pants:** Interactive pants that project holographic images of the wearer's surroundings, allowing them to interact with the virtual world.",idea1,4.2
4,pants,2,"**Musical Pants:** Pants that produce different musical notes depending on the wearer's movement, creating a unique musical expression.",idea1,3.4
4,pants,3,"**Self-Cleaning Pants:** Pants that have integrated vacuum cleaner technology to automatically clean the legs while walking, eliminating the need for manual dusting.",idea1,4.3
4,pants,4,"**Interactive Learning Pants:** Pants that connect to an app, providing interactive learning experiences based on the wearer's surroundings and movements.",idea1,3.0
5,pants,0,"**Portable Hammock:** Convert pants into a lightweight, breathable hammock for relaxing in the park, on the beach, or even in your living room.",idea1,4.2
5,pants,1,**Water Reservoir:** Turn pants into a portable water reservoir by attaching waterproof pouches or bladders to the legs. Fill the pouches with water and wear them as a makeshift water reservoir.,idea1,4.5
5,pants,2,**Sling Shot:** Fashion a sling shot out of pants by attaching a pouch to the leg and a string to the pouch. Load the pouch with small objects and use it to launch projectiles.,idea1,4.2
5,pants,3,**Mini Dress:** Repurpose a pair of pants into a mini dress by cutting them into a shorter length and adding embellishments like lace or sequins.,idea1,3.0
5,pants,4,**Cat Bed:** Transform pants into a cozy cat bed by stuffing them with pillows and blankets. You can even add a personalized touch with cat-themed accessories.,idea1,3.2
6,pants,0,"Pants as a canvas:** Turn pants into a canvas for art by painting, dyeing, or decorating them. They can be worn as a statement piece or displayed as artwork.",idea1,3.0
6,pants,1,"Pants as a musical instrument:** Create a musical instrument out of pants by attaching strings, bells, or other instruments. You could even use them as a drumskin.",idea1,3.4
6,pants,2,Pants as a shelter:** Construct a makeshift shelter from pants and other materials. It could be a cozy retreat for camping or a shelter for small animals.,idea1,4.5
6,pants,3,Pants as a parachute:** Turn pants into a makeshift parachute by attaching a cord or rope to them. You could use it to glide through the air.,idea1,4.8
6,pants,4,Pants as a boat:** Create a boat out of pants and other materials. You could use it to sail on water or even ride on land.,idea1,4.2
7,pants,0,"**A makeshift sail:** Fold a pair of pants into a triangular shape, add a rope or string to the top, and use the wind to sail across the waves.",idea1,3.0
7,pants,1,**A makeshift tent:** Turn a pair of pants into a small tent by attaching poles or stakes. You can even add a waterproof layer for rainy weather.,idea1,4.0
